Name	Value	Time
txInjected-average	0	2019-10-19T22:22:14.344Z
txInjected-total	0	2019-10-19T22:22:14.344Z
txApplied-average	0	2019-10-19T22:22:14.344Z
txApplied-total	0	2019-10-19T22:22:14.344Z
txRejected-average	0	2019-10-19T22:22:14.344Z
txRejected-total	0	2019-10-19T22:22:14.344Z
txExpired-average	0	2019-10-19T22:22:14.344Z
txExpired-total	0	2019-10-19T22:22:14.344Z
queueLength-average	0	2019-10-19T22:22:14.344Z
queueLength-value	0	2019-10-19T22:22:14.344Z
serverLoad-average	0	2019-10-19T22:22:14.344Z
serverLoad-value	0	2019-10-19T22:22:14.344Z
txTimeInQueue-average	0	2019-10-19T22:22:14.344Z
txInjected-average	0	2019-10-19T22:22:15.345Z
txInjected-total	0	2019-10-19T22:22:15.345Z
txApplied-average	0	2019-10-19T22:22:15.345Z
txApplied-total	0	2019-10-19T22:22:15.345Z
txRejected-average	0	2019-10-19T22:22:15.345Z
txRejected-total	0	2019-10-19T22:22:15.345Z
txExpired-average	0	2019-10-19T22:22:15.345Z
txExpired-total	0	2019-10-19T22:22:15.345Z
queueLength-average	0	2019-10-19T22:22:15.345Z
queueLength-value	0	2019-10-19T22:22:15.345Z
serverLoad-average	0	2019-10-19T22:22:15.345Z
serverLoad-value	0	2019-10-19T22:22:15.345Z
txTimeInQueue-average	0	2019-10-19T22:22:15.345Z
txInjected-average	0	2019-10-19T22:22:16.345Z
txInjected-total	0	2019-10-19T22:22:16.345Z
txApplied-average	0	2019-10-19T22:22:16.345Z
txApplied-total	0	2019-10-19T22:22:16.345Z
txRejected-average	0	2019-10-19T22:22:16.345Z
txRejected-total	0	2019-10-19T22:22:16.345Z
txExpired-average	0	2019-10-19T22:22:16.345Z
txExpired-total	0	2019-10-19T22:22:16.345Z
queueLength-average	0	2019-10-19T22:22:16.345Z
queueLength-value	0	2019-10-19T22:22:16.345Z
serverLoad-average	0	2019-10-19T22:22:16.345Z
serverLoad-value	0	2019-10-19T22:22:16.345Z
txTimeInQueue-average	0	2019-10-19T22:22:16.345Z
txInjected-average	0	2019-10-19T22:22:17.346Z
txInjected-total	0	2019-10-19T22:22:17.346Z
txApplied-average	0	2019-10-19T22:22:17.346Z
txApplied-total	0	2019-10-19T22:22:17.346Z
txRejected-average	0	2019-10-19T22:22:17.346Z
txRejected-total	0	2019-10-19T22:22:17.346Z
txExpired-average	0	2019-10-19T22:22:17.346Z
txExpired-total	0	2019-10-19T22:22:17.346Z
queueLength-average	0	2019-10-19T22:22:17.346Z
queueLength-value	0	2019-10-19T22:22:17.346Z
serverLoad-average	0	2019-10-19T22:22:17.346Z
serverLoad-value	0	2019-10-19T22:22:17.346Z
txTimeInQueue-average	0	2019-10-19T22:22:17.346Z
txInjected-average	0	2019-10-19T22:22:18.350Z
txInjected-total	0	2019-10-19T22:22:18.350Z
txApplied-average	0	2019-10-19T22:22:18.350Z
txApplied-total	0	2019-10-19T22:22:18.350Z
txRejected-average	0	2019-10-19T22:22:18.350Z
txRejected-total	0	2019-10-19T22:22:18.350Z
txExpired-average	0	2019-10-19T22:22:18.350Z
txExpired-total	0	2019-10-19T22:22:18.350Z
queueLength-average	0	2019-10-19T22:22:18.350Z
queueLength-value	0	2019-10-19T22:22:18.350Z
serverLoad-average	0	2019-10-19T22:22:18.350Z
serverLoad-value	0	2019-10-19T22:22:18.350Z
txTimeInQueue-average	0	2019-10-19T22:22:18.350Z
txInjected-average	0	2019-10-19T22:22:19.351Z
txInjected-total	0	2019-10-19T22:22:19.351Z
txApplied-average	0	2019-10-19T22:22:19.351Z
txApplied-total	0	2019-10-19T22:22:19.351Z
txRejected-average	0	2019-10-19T22:22:19.351Z
txRejected-total	0	2019-10-19T22:22:19.351Z
txExpired-average	0	2019-10-19T22:22:19.351Z
txExpired-total	0	2019-10-19T22:22:19.351Z
queueLength-average	0	2019-10-19T22:22:19.351Z
queueLength-value	0	2019-10-19T22:22:19.351Z
serverLoad-average	0	2019-10-19T22:22:19.351Z
serverLoad-value	0	2019-10-19T22:22:19.351Z
txTimeInQueue-average	0	2019-10-19T22:22:19.351Z
txInjected-average	0	2019-10-19T22:22:20.354Z
txInjected-total	0	2019-10-19T22:22:20.354Z
txApplied-average	0	2019-10-19T22:22:20.354Z
txApplied-total	0	2019-10-19T22:22:20.354Z
txRejected-average	0	2019-10-19T22:22:20.354Z
txRejected-total	0	2019-10-19T22:22:20.354Z
txExpired-average	0	2019-10-19T22:22:20.354Z
txExpired-total	0	2019-10-19T22:22:20.354Z
queueLength-average	0	2019-10-19T22:22:20.354Z
queueLength-value	0	2019-10-19T22:22:20.354Z
serverLoad-average	0	2019-10-19T22:22:20.354Z
serverLoad-value	0	2019-10-19T22:22:20.354Z
txTimeInQueue-average	0	2019-10-19T22:22:20.354Z
txInjected-average	0	2019-10-19T22:22:21.355Z
txInjected-total	0	2019-10-19T22:22:21.355Z
txApplied-average	0	2019-10-19T22:22:21.355Z
txApplied-total	0	2019-10-19T22:22:21.355Z
txRejected-average	0	2019-10-19T22:22:21.355Z
txRejected-total	0	2019-10-19T22:22:21.355Z
txExpired-average	0	2019-10-19T22:22:21.355Z
txExpired-total	0	2019-10-19T22:22:21.355Z
queueLength-average	0	2019-10-19T22:22:21.355Z
queueLength-value	0	2019-10-19T22:22:21.355Z
serverLoad-average	0	2019-10-19T22:22:21.355Z
serverLoad-value	0	2019-10-19T22:22:21.355Z
txTimeInQueue-average	0	2019-10-19T22:22:21.355Z
txInjected-average	0	2019-10-19T22:22:22.358Z
txInjected-total	0	2019-10-19T22:22:22.358Z
txApplied-average	0	2019-10-19T22:22:22.358Z
txApplied-total	0	2019-10-19T22:22:22.358Z
txRejected-average	0	2019-10-19T22:22:22.358Z
txRejected-total	0	2019-10-19T22:22:22.358Z
txExpired-average	0	2019-10-19T22:22:22.358Z
txExpired-total	0	2019-10-19T22:22:22.358Z
queueLength-average	0	2019-10-19T22:22:22.358Z
queueLength-value	0	2019-10-19T22:22:22.358Z
serverLoad-average	0	2019-10-19T22:22:22.358Z
serverLoad-value	0	2019-10-19T22:22:22.358Z
txTimeInQueue-average	0	2019-10-19T22:22:22.358Z
txInjected-average	0	2019-10-19T22:22:23.360Z
txInjected-total	0	2019-10-19T22:22:23.360Z
txApplied-average	0	2019-10-19T22:22:23.360Z
txApplied-total	0	2019-10-19T22:22:23.360Z
txRejected-average	0	2019-10-19T22:22:23.360Z
txRejected-total	0	2019-10-19T22:22:23.360Z
txExpired-average	0	2019-10-19T22:22:23.360Z
txExpired-total	0	2019-10-19T22:22:23.360Z
queueLength-average	0	2019-10-19T22:22:23.360Z
queueLength-value	0	2019-10-19T22:22:23.360Z
serverLoad-average	0	2019-10-19T22:22:23.360Z
serverLoad-value	0	2019-10-19T22:22:23.360Z
txTimeInQueue-average	0	2019-10-19T22:22:23.360Z
txInjected-average	0	2019-10-19T22:22:24.364Z
txInjected-total	0	2019-10-19T22:22:24.364Z
txApplied-average	0	2019-10-19T22:22:24.364Z
txApplied-total	0	2019-10-19T22:22:24.364Z
txRejected-average	0	2019-10-19T22:22:24.364Z
txRejected-total	0	2019-10-19T22:22:24.364Z
txExpired-average	0	2019-10-19T22:22:24.364Z
txExpired-total	0	2019-10-19T22:22:24.364Z
queueLength-average	0	2019-10-19T22:22:24.364Z
queueLength-value	0	2019-10-19T22:22:24.364Z
serverLoad-average	0	2019-10-19T22:22:24.364Z
serverLoad-value	0	2019-10-19T22:22:24.364Z
txTimeInQueue-average	0	2019-10-19T22:22:24.364Z
txInjected-average	0	2019-10-19T22:22:25.364Z
txInjected-total	0	2019-10-19T22:22:25.364Z
txApplied-average	0	2019-10-19T22:22:25.364Z
txApplied-total	0	2019-10-19T22:22:25.364Z
txRejected-average	0	2019-10-19T22:22:25.364Z
txRejected-total	0	2019-10-19T22:22:25.364Z
txExpired-average	0	2019-10-19T22:22:25.364Z
txExpired-total	0	2019-10-19T22:22:25.364Z
queueLength-average	0	2019-10-19T22:22:25.364Z
queueLength-value	0	2019-10-19T22:22:25.364Z
serverLoad-average	0	2019-10-19T22:22:25.364Z
serverLoad-value	0	2019-10-19T22:22:25.364Z
txTimeInQueue-average	0	2019-10-19T22:22:25.364Z
txInjected-average	0	2019-10-19T22:22:26.364Z
txInjected-total	0	2019-10-19T22:22:26.364Z
txApplied-average	0	2019-10-19T22:22:26.364Z
txApplied-total	0	2019-10-19T22:22:26.364Z
txRejected-average	0	2019-10-19T22:22:26.364Z
txRejected-total	0	2019-10-19T22:22:26.364Z
txExpired-average	0	2019-10-19T22:22:26.364Z
txExpired-total	0	2019-10-19T22:22:26.364Z
queueLength-average	0	2019-10-19T22:22:26.364Z
queueLength-value	0	2019-10-19T22:22:26.364Z
serverLoad-average	0	2019-10-19T22:22:26.364Z
serverLoad-value	0	2019-10-19T22:22:26.364Z
txTimeInQueue-average	0	2019-10-19T22:22:26.364Z
txInjected-average	0	2019-10-19T22:22:27.366Z
txInjected-total	0	2019-10-19T22:22:27.366Z
txApplied-average	0	2019-10-19T22:22:27.366Z
txApplied-total	0	2019-10-19T22:22:27.366Z
txRejected-average	0	2019-10-19T22:22:27.366Z
txRejected-total	0	2019-10-19T22:22:27.366Z
txExpired-average	0	2019-10-19T22:22:27.366Z
txExpired-total	0	2019-10-19T22:22:27.366Z
queueLength-average	0	2019-10-19T22:22:27.366Z
queueLength-value	0	2019-10-19T22:22:27.366Z
serverLoad-average	0	2019-10-19T22:22:27.366Z
serverLoad-value	0	2019-10-19T22:22:27.366Z
txTimeInQueue-average	0	2019-10-19T22:22:27.366Z
txInjected-average	0	2019-10-19T22:22:28.366Z
txInjected-total	0	2019-10-19T22:22:28.366Z
txApplied-average	0	2019-10-19T22:22:28.366Z
txApplied-total	0	2019-10-19T22:22:28.366Z
txRejected-average	0	2019-10-19T22:22:28.366Z
txRejected-total	0	2019-10-19T22:22:28.366Z
txExpired-average	0	2019-10-19T22:22:28.366Z
txExpired-total	0	2019-10-19T22:22:28.366Z
queueLength-average	0	2019-10-19T22:22:28.366Z
queueLength-value	0	2019-10-19T22:22:28.366Z
serverLoad-average	0	2019-10-19T22:22:28.366Z
serverLoad-value	0	2019-10-19T22:22:28.366Z
txTimeInQueue-average	0	2019-10-19T22:22:28.366Z
txInjected-average	0	2019-10-19T22:22:29.368Z
txInjected-total	0	2019-10-19T22:22:29.368Z
txApplied-average	0	2019-10-19T22:22:29.368Z
txApplied-total	0	2019-10-19T22:22:29.368Z
txRejected-average	0	2019-10-19T22:22:29.368Z
txRejected-total	0	2019-10-19T22:22:29.368Z
txExpired-average	0	2019-10-19T22:22:29.368Z
txExpired-total	0	2019-10-19T22:22:29.368Z
queueLength-average	0	2019-10-19T22:22:29.368Z
queueLength-value	0	2019-10-19T22:22:29.368Z
serverLoad-average	0	2019-10-19T22:22:29.368Z
serverLoad-value	0	2019-10-19T22:22:29.368Z
txTimeInQueue-average	0	2019-10-19T22:22:29.368Z
txInjected-average	0	2019-10-19T22:22:30.371Z
txInjected-total	0	2019-10-19T22:22:30.371Z
txApplied-average	0	2019-10-19T22:22:30.371Z
txApplied-total	0	2019-10-19T22:22:30.371Z
txRejected-average	0	2019-10-19T22:22:30.371Z
txRejected-total	0	2019-10-19T22:22:30.371Z
txExpired-average	0	2019-10-19T22:22:30.371Z
txExpired-total	0	2019-10-19T22:22:30.371Z
queueLength-average	0	2019-10-19T22:22:30.371Z
queueLength-value	0	2019-10-19T22:22:30.371Z
serverLoad-average	0	2019-10-19T22:22:30.371Z
serverLoad-value	0	2019-10-19T22:22:30.371Z
txTimeInQueue-average	0	2019-10-19T22:22:30.371Z
txInjected-average	0	2019-10-19T22:22:31.371Z
txInjected-total	0	2019-10-19T22:22:31.371Z
txApplied-average	0	2019-10-19T22:22:31.371Z
txApplied-total	0	2019-10-19T22:22:31.371Z
txRejected-average	0	2019-10-19T22:22:31.371Z
txRejected-total	0	2019-10-19T22:22:31.371Z
txExpired-average	0	2019-10-19T22:22:31.371Z
txExpired-total	0	2019-10-19T22:22:31.371Z
queueLength-average	0	2019-10-19T22:22:31.371Z
queueLength-value	0	2019-10-19T22:22:31.371Z
serverLoad-average	0	2019-10-19T22:22:31.371Z
serverLoad-value	0	2019-10-19T22:22:31.371Z
txTimeInQueue-average	0	2019-10-19T22:22:31.371Z
txInjected-average	0	2019-10-19T22:22:32.372Z
txInjected-total	0	2019-10-19T22:22:32.372Z
txApplied-average	0	2019-10-19T22:22:32.372Z
txApplied-total	0	2019-10-19T22:22:32.372Z
txRejected-average	0	2019-10-19T22:22:32.372Z
txRejected-total	0	2019-10-19T22:22:32.372Z
txExpired-average	0	2019-10-19T22:22:32.372Z
txExpired-total	0	2019-10-19T22:22:32.372Z
queueLength-average	0	2019-10-19T22:22:32.372Z
queueLength-value	0	2019-10-19T22:22:32.372Z
serverLoad-average	0	2019-10-19T22:22:32.372Z
serverLoad-value	0	2019-10-19T22:22:32.372Z
txTimeInQueue-average	0	2019-10-19T22:22:32.372Z
txInjected-average	0	2019-10-19T22:22:33.372Z
txInjected-total	0	2019-10-19T22:22:33.372Z
txApplied-average	0	2019-10-19T22:22:33.372Z
txApplied-total	0	2019-10-19T22:22:33.372Z
txRejected-average	0	2019-10-19T22:22:33.372Z
txRejected-total	0	2019-10-19T22:22:33.372Z
txExpired-average	0	2019-10-19T22:22:33.372Z
