Name	Value	Time
txInjected-average	0	2019-10-20T13:43:01.294Z
txInjected-total	0	2019-10-20T13:43:01.294Z
txApplied-average	0	2019-10-20T13:43:01.294Z
txApplied-total	0	2019-10-20T13:43:01.294Z
txRejected-average	0	2019-10-20T13:43:01.294Z
txRejected-total	0	2019-10-20T13:43:01.294Z
txExpired-average	0	2019-10-20T13:43:01.294Z
txExpired-total	0	2019-10-20T13:43:01.294Z
queueLength-average	0	2019-10-20T13:43:01.294Z
queueLength-value	0	2019-10-20T13:43:01.294Z
serverLoad-average	0	2019-10-20T13:43:01.294Z
serverLoad-value	0	2019-10-20T13:43:01.294Z
txTimeInQueue-average	0	2019-10-20T13:43:01.294Z
txInjected-average	0	2019-10-20T13:43:02.297Z
txInjected-total	0	2019-10-20T13:43:02.297Z
txApplied-average	0	2019-10-20T13:43:02.297Z
txApplied-total	0	2019-10-20T13:43:02.297Z
txRejected-average	0	2019-10-20T13:43:02.297Z
txRejected-total	0	2019-10-20T13:43:02.297Z
txExpired-average	0	2019-10-20T13:43:02.297Z
txExpired-total	0	2019-10-20T13:43:02.297Z
queueLength-average	0	2019-10-20T13:43:02.297Z
queueLength-value	0	2019-10-20T13:43:02.297Z
serverLoad-average	0	2019-10-20T13:43:02.297Z
serverLoad-value	0	2019-10-20T13:43:02.297Z
txTimeInQueue-average	0	2019-10-20T13:43:02.297Z
txInjected-average	0	2019-10-20T13:43:03.298Z
txInjected-total	0	2019-10-20T13:43:03.298Z
txApplied-average	0	2019-10-20T13:43:03.298Z
txApplied-total	0	2019-10-20T13:43:03.298Z
txRejected-average	0	2019-10-20T13:43:03.298Z
txRejected-total	0	2019-10-20T13:43:03.298Z
txExpired-average	0	2019-10-20T13:43:03.298Z
txExpired-total	0	2019-10-20T13:43:03.298Z
queueLength-average	0	2019-10-20T13:43:03.298Z
queueLength-value	0	2019-10-20T13:43:03.298Z
serverLoad-average	0	2019-10-20T13:43:03.298Z
serverLoad-value	0	2019-10-20T13:43:03.298Z
txTimeInQueue-average	0	2019-10-20T13:43:03.298Z
txInjected-average	0	2019-10-20T13:43:04.301Z
txInjected-total	0	2019-10-20T13:43:04.301Z
txApplied-average	0	2019-10-20T13:43:04.301Z
txApplied-total	0	2019-10-20T13:43:04.301Z
txRejected-average	0	2019-10-20T13:43:04.301Z
txRejected-total	0	2019-10-20T13:43:04.301Z
txExpired-average	0	2019-10-20T13:43:04.301Z
txExpired-total	0	2019-10-20T13:43:04.301Z
